"Species","ISpecies","Aroma","Flavor","Aftertaste","Acidity","Sweetness","Ratings"
"Arabica",1,7.92,7.83,7.58,7.92,10,84.75
"Arabica",1,7.83,7.75,8,7.67,10,84.75
"Arabica",1,7.75,8,8,8.33,9.33,84.75
"Arabica",1,7.83,7.58,7.58,7.83,10,84.75
"Arabica",1,7.83,7.83,7.5,8,10,84.67
"Arabica",1,7.92,7.83,7.75,7.75,10,84.67
"Arabica",1,7.75,7.75,7.75,7.42,10,84.67
"Arabica",1,8.08,7.75,7.67,7.83,10,84.67
"Arabica",1,7.75,7.83,7.58,8,10,84.67
"Arabica",1,8.17,8,7.83,7.17,10,84.67
"Arabica",1,8.08,7.83,7.75,7.83,10,84.67
"Arabica",1,7.67,7.58,7.75,7.75,10,84.67
"Arabica",1,8,7.58,7.83,7.75,10,84.67
"Arabica",1,8.08,7.83,7.75,7.83,9.33,84.67
"Arabica",1,8,7.92,7.75,7.75,10,84.67
"Arabica",1,7.75,7.83,7.75,7.83,10,84.67
"Arabica",1,7.75,7.92,7.83,8,10,84.67
"Arabica",1,8,7.83,7.67,7.83,10,84.67
"Arabica",1,7.67,7.83,7.67,8,10,84.67
"Arabica",1,7.83,7.58,7.67,7.92,10,84.67
"Arabica",1,7.92,7.83,7.75,7.92,10,84.67
"Arabica",1,7.67,7.83,7.75,7.75,10,84.67
"Arabica",1,7.42,7.75,7.75,8,10,84.67
"Arabica",1,7.92,7.75,7.83,7.75,10,84.58
"Arabica",1,7.83,7.67,7.58,7.92,10,84.58
"Arabica",1,7.92,7.83,7.58,8,10,84.58
"Arabica",1,7.83,7.83,7.83,7.75,10,84.58
"Arabica",1,7.75,7.83,7.67,7.92,10,84.58
"Arabica",1,8,7.92,7.67,7.58,10,84.58
"Arabica",1,7.67,7.67,7.58,7.75,10,84.58
"Arabica",1,7.75,7.75,7.83,7.75,10,84.58
"Arabica",1,7.75,7.75,7.75,8.08,10,84.58
"Arabica",1,7.67,7.83,7.83,8,10,84.58
"Arabica",1,7.75,7.83,7.75,8,10,84.58
"Arabica",1,7.42,7.67,7.75,7.75,10,84.58
"Arabica",1,8,8,7.75,7.75,10,84.58
"Arabica",1,8.5,8,7.5,7.75,10,84.58
"Arabica",1,7.92,7.67,7.92,7.75,10,84.5
"Arabica",1,7.92,7.75,7.67,7.75,10,84.5
"Arabica",1,7.75,7.92,7.67,7.83,10,84.5
"Arabica",1,7.92,7.83,7.83,7.83,10,84.5
"Arabica",1,8.08,7.67,7.83,7.83,10,84.5
"Arabica",1,7.67,8,7.75,7.83,10,84.5
"Arabica",1,8.17,7.83,7.67,7.83,10,84.5
"Arabica",1,7.92,7.83,7.67,8,10,84.5
"Arabica",1,8,7.92,7.42,8.08,10,84.5
"Arabica",1,7.92,7.83,7.75,7.75,10,84.5
"Arabica",1,7.67,8,7.67,8,10,84.5
"Arabica",1,7.81,7.81,7.88,7.75,10,84.5
"Arabica",1,8.17,7.67,7.75,7.75,10,84.5
"Arabica",1,7.58,7.83,7.83,8,10,84.42
"Arabica",1,7.67,7.67,7.83,7.58,10,84.42
"Arabica",1,7.92,7.83,7.75,7.67,10,84.42
"Arabica",1,7.92,7.75,7.67,7.92,10,84.42
"Arabica",1,7.83,7.83,7.75,8,10,84.42
"Arabica",1,7.92,7.92,7.5,7.83,10,84.42
"Arabica",1,7.75,7.92,7.75,7.67,10,84.42
"Arabica",1,7.5,7.75,7.83,7.92,10,84.42
"Arabica",1,7.33,7.58,7.83,7.75,10,84.33
"Arabica",1,7.92,8,7.75,7.67,10,84.33
"Arabica",1,7.58,7.75,7.5,7.83,10,84.33
"Arabica",1,7.58,7.92,7.58,7.75,10,84.33
"Arabica",1,7.67,7.67,7.75,7.83,10,84.33
"Arabica",1,7.75,7.67,8,7.67,10,84.33
"Arabica",1,7.75,7.58,7.33,7.83,10,84.33
"Arabica",1,8,7.75,7.75,7.83,10,84.33
"Arabica",1,8.17,8,7.5,7.75,10,84.33
"Arabica",1,8,8,7.5,7.5,10,84.33
"Arabica",1,7.75,7.75,7.92,7.75,10,84.33
"Arabica",1,7.5,7.67,7.75,7.67,10,84.33
"Arabica",1,7.92,7.75,7.75,7.67,10,84.25
"Arabica",1,7.83,7.75,7.75,7.42,10,84.25
"Arabica",1,7.83,7.58,7.75,7.58,10,84.25
"Arabica",1,7.75,7.75,7.58,7.92,10,84.25
"Arabica",1,7.75,7.92,7.5,8.08,10,84.25
"Arabica",1,7.83,7.83,7.58,7.75,10,84.25
"Arabica",1,7.67,7.67,7.75,7.75,10,84.25
"Arabica",1,7.83,7.67,7.75,7.58,10,84.25
"Arabica",1,7.83,7.75,7.83,7.58,10,84.25
"Arabica",1,7.42,7.67,7.83,7.75,10,84.25
"Arabica",1,7.83,7.67,7.75,7.83,10,84.25
"Arabica",1,7.83,7.75,7.75,7.75,10,84.25
"Arabica",1,7.83,7.83,7.5,7.92,10,84.25
"Arabica",1,7.58,7.5,7.75,7.83,10,84.25
"Arabica",1,7.33,7.92,7.92,7.92,9.33,84.25
"Arabica",1,7.83,7.92,7.67,7.83,10,84.25
"Arabica",1,7.83,7.83,7.75,7.67,10,84.25
"Arabica",1,7.83,7.92,7.67,7.75,10,84.25
"Arabica",1,8.17,7.75,7.58,7.67,10,84.25
"Arabica",1,7.75,7.83,7.58,7.83,10,84.17
"Arabica",1,7.83,7.75,7.58,7.67,10,84.17
"Arabica",1,7.92,7.75,7.67,7.67,10,84.17
"Arabica",1,7.75,7.75,7.58,8,10,84.17
"Arabica",1,7.75,7.92,7.58,7.92,10,84.17
"Arabica",1,7.58,7.83,7.58,7.83,10,84.17
"Arabica",1,8,7.5,7.5,7.67,10,84.17
"Arabica",1,7.67,7.83,7.83,7.5,10,84.17
"Arabica",1,7.67,7.75,7.75,7.67,10,84.17
"Arabica",1,7.67,7.75,7.67,7.75,10,84.17
"Arabica",1,7.5,7.92,7.58,7.83,10,84.17
"Arabica",1,7.92,7.75,7.75,7.75,10,84.17
"Arabica",1,7.67,7.5,7.67,7.42,10,84.17
"Arabica",1,7.67,7.75,7.67,7.75,10,84.17
"Arabica",1,7.58,7.75,7.75,7.75,10,84.17
"Arabica",1,7.58,7.83,7.75,7.67,10,84.17
"Arabica",1,7.92,7.75,7.67,7.67,10,84.17
"Arabica",1,8.42,8.08,7.5,7.17,10,84.17
"Arabica",1,7.75,7.75,7.75,7.75,10,84.17
"Arabica",1,7.83,7.5,7.5,8,10,84.17
"Arabica",1,7.83,7.75,7.5,7.83,10,84.17
"Arabica",1,7.81,7.88,7.56,7.75,10,84.13
"Arabica",1,7.83,7.5,7.42,7.5,10,84.08
"Arabica",1,7.58,7.67,7.67,7.67,10,84.08
"Arabica",1,8,7.75,7.5,7.58,10,84.08
"Arabica",1,7.92,7.75,7.67,7.75,10,84.08
"Arabica",1,7.58,7.75,7.67,8,10,84.08
"Arabica",1,7.83,7.75,7.83,7.83,10,84.08
"Arabica",1,7.67,7.75,7.67,7.75,10,84.08
"Arabica",1,7.92,7.92,7.83,8,8.67,84.08
"Arabica",1,7.58,7.75,7.67,7.75,10,84
"Arabica",1,7.83,7.75,7.67,7.75,10,84
"Arabica",1,7.42,7.83,7.75,7.92,10,84
"Arabica",1,7.67,7.83,7.58,7.92,10,84
"Arabica",1,7.67,7.67,7.83,7.58,10,84
"Arabica",1,7.92,7.67,7.42,7.92,10,84
"Arabica",1,7.75,7.83,7.5,7.83,10,84
"Arabica",1,7.67,7.75,7.67,7.67,10,84
"Arabica",1,7.58,7.42,7.75,7.92,10,84
"Arabica",1,7.67,7.67,7.5,7.5,10,84
"Arabica",1,7.75,7.75,7.5,7.58,10,84
"Arabica",1,7.58,7.83,7.67,7.25,10,84
"Arabica",1,7.67,7.83,7.67,7.75,10,84
"Arabica",1,7.67,7.83,7.5,7.75,10,84
"Arabica",1,7.92,8.17,8.17,8.42,9.33,84
"Arabica",1,7.67,7.75,7.67,7.75,10,84
"Arabica",1,7.92,7.75,7.58,7.67,10,84
"Arabica",1,7.58,7.75,7.58,7.75,10,84
"Arabica",1,7.5,7.75,7.58,7.5,10,83.92
"Arabica",1,7.83,7.83,7.58,7.92,10,83.92
"Arabica",1,7.67,7.75,7.5,7.67,10,83.92
"Arabica",1,7.58,7.67,7.67,7.75,10,83.92
"Arabica",1,7.83,7.75,7.83,7.75,10,83.92
"Arabica",1,7.75,7.67,7.5,7.75,10,83.92
"Arabica",1,7.75,7.58,7.5,7.83,10,83.92
"Arabica",1,7.75,7.75,7.58,7.75,10,83.92
"Arabica",1,7.92,7.67,7.5,7.83,10,83.92
"Arabica",1,7.83,7.75,7.58,7.58,10,83.92
"Arabica",1,7.75,7.58,7.67,7.83,10,83.92
"Arabica",1,8,7.92,7.92,7.92,10,83.92
"Arabica",1,7.67,7.83,7.67,7.75,10,83.92
"Arabica",1,7.67,7.75,7.58,7.67,10,83.92
"Arabica",1,7.5,7.67,7.58,7.83,10,83.92
"Arabica",1,7.75,7.92,7.83,7.92,10,83.92
"Arabica",1,7.92,7.58,7.5,7.83,10,83.83
"Arabica",1,7.83,7.67,7.5,7.75,10,83.83
"Arabica",1,7.67,7.67,7.75,7.67,10,83.83
"Arabica",1,7.75,7.75,7.5,7.75,10,83.83
"Arabica",1,7.75,7.67,7.5,7.75,10,83.83
"Arabica",1,7.25,7.58,7.42,8,10,83.83
"Arabica",1,7.67,7.75,7.67,7.75,10,83.83
"Arabica",1,7.75,7.75,7.67,7.67,10,83.83
"Arabica",1,7.67,7.67,7.58,7.5,9.33,83.83
"Arabica",1,7.83,7.42,7.5,7.83,10,83.83
"Arabica",1,7.58,7.83,7.33,8,10,83.83
"Arabica",1,7.92,7.5,7.33,7.67,10,83.83
"Arabica",1,7.5,7.67,7.58,7.75,10,83.83
"Arabica",1,7.67,7.58,7.58,7.83,10,83.83
"Arabica",1,7.5,7.83,7.5,7.83,10,83.83
"Arabica",1,7.67,8,7.67,7.42,10,83.83
"Arabica",1,7.67,7.58,7.5,7.75,10,83.83
"Arabica",1,7.83,7.83,7.58,7.67,10,83.83
"Arabica",1,7.75,7.75,7.58,8,10,83.83
"Arabica",1,7.5,7.83,7.58,7.58,10,83.83
"Arabica",1,7.58,7.83,7.58,8,10,83.83
"Arabica",1,7.75,7.58,7.5,7.58,10,83.75
"Arabica",1,7.67,7.67,7.58,7.75,10,83.75
"Arabica",1,7.83,7.83,7.58,7.58,10,83.75
"Arabica",1,7.67,7.67,7.58,7.58,10,83.75
"Arabica",1,7.92,7.75,7.5,7.67,10,83.75
"Arabica",1,7.83,7.75,7.67,7.5,10,83.75
"Arabica",1,7.75,7.67,7.5,7.67,10,83.75
"Arabica",1,8,7.92,7.58,7.75,10,83.75
"Arabica",1,7.83,7.83,7.83,7.67,10,83.75
"Arabica",1,7.67,7.67,7.67,7.92,10,83.75
"Arabica",1,7.67,7.42,7.42,7.42,10,83.75
"Arabica",1,7.58,7.67,7.75,7.67,10,83.75
"Arabica",1,7.75,7.67,7.75,7.58,10,83.75
"Arabica",1,7.25,7.42,7.67,7.58,10,83.75
"Arabica",1,7.83,7.58,7.58,7.5,10,83.75
"Arabica",1,7.67,7.58,7.58,7.67,10,83.75
"Arabica",1,7.83,7.83,7.58,7.33,10,83.75
"Arabica",1,7.75,7.67,7.25,7.25,10,83.75
"Arabica",1,7.83,7.67,7.75,7.67,10,83.75
"Arabica",1,7.67,7.83,7.5,7.67,10,83.67
"Arabica",1,8.08,7.67,7.67,7.58,10,83.67
"Arabica",1,7.5,7.5,7.67,7.67,10,83.67
"Arabica",1,7.67,7.75,7.67,7.67,10,83.67
"Arabica",1,7.58,7.75,7.58,7.75,10,83.67
"Arabica",1,7.5,7.67,7.33,7.92,10,83.67
"Arabica",1,7.33,7.67,7.67,7.5,10,83.67
"Arabica",1,7.5,7.75,7.58,7.83,10,83.67
"Arabica",1,7.5,7.75,7.5,7.75,10,83.67
"Arabica",1,8,7.5,7.33,8,10,83.67
"Arabica",1,7.83,7.75,7.67,7.58,10,83.67
"Arabica",1,7.67,7.67,7.67,7.67,10,83.67
"Arabica",1,7.67,7.67,7.42,7.67,10,83.67
"Arabica",1,7.83,7.67,7.33,7.67,10,83.67
"Arabica",1,7.75,7.75,7.58,7.83,10,83.67
"Arabica",1,8.17,8.17,7.83,7.67,9.33,83.67
"Arabica",1,7.67,8.17,7.5,7.42,10,83.67
"Arabica",1,7.67,7.5,7.5,7.33,10,83.67
"Arabica",1,8.17,7.67,7.58,7.58,10,83.67
"Arabica",1,7.67,7.5,7.33,8,10,83.67
"Arabica",1,7.75,8,7.92,8.08,9.33,83.67
"Arabica",1,7.58,7.67,7.58,7.58,10,83.58
"Arabica",1,7.75,7.75,7.5,7.83,10,83.58
"Arabica",1,7.75,7.75,7.58,7.58,10,83.58
"Arabica",1,7.67,7.58,7.58,7.58,10,83.58
"Arabica",1,7.67,7.75,7.58,7.67,10,83.58
"Arabica",1,7.75,7.75,7.58,7.58,10,83.58
"Arabica",1,7.75,7.67,7.58,7.67,10,83.58
"Arabica",1,7.67,7.67,7.42,7.75,10,83.58
"Arabica",1,7.67,7.58,7.67,7.67,10,83.58
"Arabica",1,7.67,7.58,7.67,7.58,10,83.58
"Arabica",1,7.75,7.58,7.5,7.58,10,83.58
"Arabica",1,7.75,7.75,7.75,7.75,10,83.58
"Arabica",1,7.67,7.67,7.58,7.67,10,83.58
"Arabica",1,7.83,7.67,7.58,7.58,10,83.58
"Arabica",1,7.67,7.58,7.58,7.58,10,83.58
"Arabica",1,7.83,7.75,7.5,7.75,10,83.58
"Arabica",1,7.75,7.58,7.58,7.75,10,83.5
"Arabica",1,7.58,7.58,7.17,7.17,10,83.5
"Arabica",1,7.92,7.42,7.5,7.67,10,83.5
"Arabica",1,7.75,7.58,7.58,7.5,10,83.5
"Arabica",1,7.67,7.75,7.5,7.83,10,83.5
"Arabica",1,7.58,7.58,7.58,7.58,10,83.5
"Arabica",1,7.75,7.67,7.58,7.67,10,83.5
"Arabica",1,7.25,7.67,7.58,7.92,10,83.5
"Arabica",1,7.67,7.75,7.5,7.58,10,83.5
"Arabica",1,7.67,7.42,7.67,7.83,10,83.5
"Arabica",1,8,7.58,7.25,7.58,10,83.5
"Arabica",1,7.58,7.75,7.5,7.83,10,83.5
"Arabica",1,7.75,7.58,7.33,7.5,10,83.5
"Arabica",1,7.67,7.5,7.67,7.5,10,83.5
"Arabica",1,7.58,7.75,7.42,7.67,10,83.5
"Arabica",1,7.58,7.67,7.58,7.75,10,83.5
"Arabica",1,7.83,7.58,7.25,7.5,10,83.5
"Arabica",1,7.67,7.75,7.67,7.75,10,83.5
"Arabica",1,7.75,7.67,7.67,7.75,10,83.5
"Arabica",1,7.83,7.5,7.5,8,10,83.5
"Arabica",1,7.67,7.58,7.58,7.67,10,83.5
"Arabica",1,7.5,7.5,7.75,7.5,10,83.5
"Arabica",1,7.5,7.67,7.58,7.92,10,83.5
"Arabica",1,7.83,7.58,7.58,7.58,10,83.5
"Arabica",1,7.5,7.58,7.58,7.5,10,83.42
"Arabica",1,7.67,7.75,7.5,7.58,10,83.42
"Arabica",1,7.67,7.67,7.5,7.67,10,83.42
"Arabica",1,7.58,7.5,7.42,7.92,10,83.42
"Arabica",1,7.67,7.67,7,7.08,10,83.42
"Arabica",1,7.58,7.75,7.33,7.75,10,83.42
"Arabica",1,7.5,7.58,7.75,7.5,10,83.42
"Arabica",1,7.58,7.5,7.75,7.58,10,83.42
"Arabica",1,7.58,7.67,7.58,7.67,10,83.42
"Arabica",1,7.33,7.83,7.75,7.5,10,83.42
"Arabica",1,7.75,7.67,7.58,7.67,10,83.42
"Arabica",1,7.58,7.58,7.25,7.75,10,83.42
"Arabica",1,7.75,7.83,7.33,7.83,10,83.42
"Arabica",1,7.67,7.75,7.5,7.83,10,83.42
"Arabica",1,7.67,7.5,7.75,7.42,10,83.42
"Arabica",1,7.42,7.75,7.67,7.58,10,83.42
"Arabica",1,7.5,7.75,7.58,7.5,10,83.42
"Arabica",1,7.58,7.58,7.58,7.67,10,83.42
"Arabica",1,7.5,7.92,7.42,7.67,10,83.42
"Arabica",1,7.58,7.25,7.5,7.92,10,83.42
"Arabica",1,7.25,7.88,7.38,7.63,10,83.38
"Arabica",1,7.75,7.5,7.75,7.58,10,83.33
"Arabica",1,7.67,7.58,7.58,7.42,10,83.33
"Arabica",1,7.83,7.58,7.58,7.58,10,83.33
"Arabica",1,7.5,7.83,7.33,7.58,10,83.33
"Arabica",1,7.75,7.75,7.5,7.67,10,83.33
"Arabica",1,7.67,7.75,7.42,7.83,10,83.33
"Arabica",1,7.75,7.58,7.67,7.58,10,83.33
"Arabica",1,7.67,7.67,7.58,7.67,10,83.33
"Arabica",1,7.67,7.67,7.42,7.67,10,83.33
"Arabica",1,7.83,7.58,7.83,7.67,9.33,83.33
"Arabica",1,7.5,7.67,7.67,7.5,10,83.33
"Arabica",1,7.83,7.75,7.58,7.83,10,83.33
"Arabica",1,7.58,7.5,7.67,7.5,10,83.33
"Arabica",1,7.67,7.67,7.5,7.67,10,83.33
"Arabica",1,7.83,7.67,7.17,7.67,10,83.33
"Arabica",1,7.92,7.5,7.58,7.83,10,83.33
"Arabica",1,7.75,7.67,7.33,7.5,10,83.33
"Arabica",1,7.5,7.67,7.67,7.58,10,83.33
"Arabica",1,8.08,7.83,7.83,7.75,9.33,83.33
"Arabica",1,7.58,7.67,7.58,7.5,10,83.33
"Arabica",1,7.67,7.83,7.42,7.83,10,83.25
"Arabica",1,7.5,7.5,7.83,7.5,10,83.25
"Arabica",1,7.83,7.5,7.42,7.67,10,83.25
"Arabica",1,7.5,7.58,7.42,7.83,10,83.25
"Arabica",1,7.5,7.67,7.67,7.42,10,83.25
"Arabica",1,7.58,7.67,7.42,7.5,10,83.25
"Arabica",1,7.58,7.67,7.67,7.17,10,83.25
"Arabica",1,7.83,7.75,7.5,7.58,10,83.25
"Arabica",1,7.67,7.5,7.5,7.5,10,83.25
"Arabica",1,7.92,7.83,7.75,7.58,10,83.25
"Arabica",1,7.58,7.58,7.5,7.58,10,83.25
"Arabica",1,7.5,7.67,7.58,7.67,10,83.25
"Arabica",1,7.83,7.5,7.67,7.33,10,83.25
"Arabica",1,7.58,7.75,7.5,7.5,10,83.25
"Arabica",1,7.58,7.75,7.83,8,9.33,83.25
"Arabica",1,7.75,7.58,7.58,7.58,10,83.25
"Arabica",1,7.75,7.75,7.42,7.92,10,83.25
"Arabica",1,7.83,7.58,7.08,7.83,10,83.25
"Arabica",1,7.75,7.67,7.5,7.58,10,83.25
"Arabica",1,7.67,7.58,7.58,7.42,10,83.25
"Arabica",1,7.67,7.67,7.5,7.5,10,83.25
"Arabica",1,7.92,7.75,7.25,7.42,10,83.25
"Arabica",1,8,7.67,7.67,7.25,10,83.25
"Arabica",1,7.92,7.75,7.5,7.42,10,83.25
"Arabica",1,7.67,7.42,7.5,7.58,10,83.17
"Arabica",1,7.58,7.58,7.33,7.67,10,83.17
"Arabica",1,7.67,7.58,7.42,7.67,10,83.17
"Arabica",1,7.92,7.5,7.5,7.58,10,83.17
"Arabica",1,7.58,7.42,7.08,7.33,10,83.17
"Arabica",1,7.67,7.75,7.42,7.75,10,83.17
"Arabica",1,7.67,7.67,7.5,7.67,10,83.17
"Arabica",1,7.5,7.67,7.33,7.67,10,83.17
"Arabica",1,7.67,7.67,7.5,7.67,10,83.17
"Arabica",1,7.5,7.5,7.33,7.67,10,83.17
"Arabica",1,7.5,7.75,7.5,7.83,10,83.17
"Arabica",1,7.92,7.67,7.42,7.75,10,83.17
"Arabica",1,7.83,7.75,7.67,7.75,9.33,83.17
"Arabica",1,7.67,7.58,7.58,7.75,10,83.17
"Arabica",1,7.58,7.67,7.67,7.58,10,83.17
"Arabica",1,7.58,7.5,7.5,7.67,10,83.17
"Arabica",1,8,7.67,7.5,7.42,10,83.17
"Arabica",1,7.58,7.75,7.5,7.58,10,83.17
"Arabica",1,7.5,7.5,7.5,7.67,10,83.17
"Arabica",1,7.67,7.67,7.5,7.67,10,83.17
"Arabica",1,7.33,7.83,7.17,8.17,10,83.17
"Arabica",1,7.5,7.5,7.58,7.42,10,83.17
"Arabica",1,7.58,7.5,7.58,7.75,10,83.17
"Arabica",1,7.67,7.83,7.33,7.67,10,83.17
"Arabica",1,7.75,7.58,7.58,7.58,10,83.17
"Arabica",1,7.75,7.67,7.58,7.5,10,83.17
"Arabica",1,7.58,7.75,7.42,7.67,10,83.17
"Arabica",1,7.67,7.5,7.5,7.5,10,83.17
"Arabica",1,7.75,7.5,7.42,7.75,10,83.17
"Arabica",1,7.58,7.67,7.5,7.58,10,83.17
"Arabica",1,7.5,7.75,7.58,7.58,10,83.17
"Arabica",1,7.75,7.67,7.58,7.5,10,83.17
"Arabica",1,7.92,7.58,7.5,7.58,10,83.17
"Arabica",1,7.75,7.5,7.67,7.5,9.33,83.17
